iter	Passed	Remaining
0	162	16126
1	185	9079
2	205	6639
3	221	5312
4	235	4469
5	249	3914
6	264	3514
7	277	3185
8	289	2924
9	300	2707
10	312	2529
11	324	2381
12	336	2252
13	347	2137
14	359	2038
15	371	1951
16	383	1871
17	394	1798
18	406	1733
19	418	1673
20	429	1616
21	441	1565
22	454	1520
23	465	1473
24	477	1433
25	489	1394
26	501	1356
27	513	1319
28	524	1284
29	536	1251
30	547	1219
31	559	1188
32	571	1160
33	583	1132
34	594	1104
35	606	1077
36	618	1052
37	629	1027
38	641	1003
39	653	980
40	666	958
41	678	936
42	690	914
43	702	893
44	713	872
45	725	851
46	736	830
47	748	810
48	759	790
49	771	771
50	783	753
51	795	734
52	807	715
53	819	697
54	830	679
55	842	662
56	854	644
57	866	627
58	878	610
59	890	593
60	902	576
61	913	560
62	925	543
63	937	527
64	948	510
65	959	494
66	971	478
67	983	462
68	995	447
69	1006	431
70	1018	415
71	1029	400
72	1040	384
73	1051	369
74	1062	354
75	1076	339
76	1088	325
77	1099	310
78	1111	295
79	1122	280
80	1134	266
81	1149	252
82	1160	237
83	1175	223
84	1189	209
85	1205	196
86	1220	182
87	1234	168
88	1248	154
89	1260	140
90	1274	126
91	1288	112
92	1302	98
93	1315	83
94	1328	69
95	1339	55
96	1351	41
97	1364	27
98	1375	13
99	1388	0
